id,song,artist,album,type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7qUcqYzOtfZe65bednDxmz,One Less Lonely Girl,Justin Bieber,My Worlds (International Version),audio_features,0.58,0.75,4,-4.421,1,0.194,0.159,0,0.274,0.728,86.938
0seHreoI3kwp38OlEgLLnT,Romeo ja Julia (feat. Sophie),"Pikku G, Sophie",Räjähdysvaara,audio_features,0.695,0.628,11,-6.498,0,0.0442,0.0539,0,0.32,0.529,144.114
5DcPOPPUnNhyPYbTi2aWjR,Don't You Worry Child - Radio Edit,"Swedish House Mafia, John Martin",Until Now (Deluxe Version),audio_features,0.608,0.828,2,-3.597,1,0.051,0.125,0,0.113,0.484,128.919
3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us (feat. Ray Dalton),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",The Heist,audio_features,0.641,0.922,2,-4.457,1,0.0786,0.0291,0,0.0862,0.847,146.078
1HfPcQ3c2HyGeID3u1lmCa,She Wolf (Falling to Pieces) [feat. Sia],"David Guetta, Sia",Nothing but the Beat 2.0,audio_features,0.491,0.857,7,-2.634,1,0.0656,0.0834,7.57e-06,0.344,0.395,129.971
6Ep6BzIOB9tz3P4sWqiiAB,Radioactive,Imagine Dragons,Night Visions (Deluxe),audio_features,0.473,0.777,9,-3.698,1,0.059,0.119,7.87e-05,0.671,0.21,136.249
3bC1ahPIYt1btJzSSEyyrF,Whistle,Flo Rida,Wild Ones,audio_features,0.747,0.937,0,-5.746,1,0.0453,0.0208,0,0.29,0.739,103.976
05SBRd4fXgn8FX7bf8BCAE,I Need Your Love (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",18 Months,audio_features,0.695,0.869,8,-5.066,1,0.0483,0.41,0,0.237,0.58,124.989
3cHyrEgdyYRjgJKSOiOtcS,Timber (feat. Ke$ha),"Pitbull, Kesha",Global Warming: Meltdown (Deluxe Version),audio_features,0.581,0.963,11,-4.087,1,0.0981,0.0295,0,0.139,0.788,129.992
2iJuuzV8P9Yz0VSurttIV5,Scream & Shout,"will.i.am, Britney Spears",#willpower,audio_features,0.772,0.685,5,-6.849,1,0.0696,0.019,8.96e-05,0.131,0.501,130.033
6g1NlCpW7fgqDnWbCCDrHl,Wake Me Up - Radio Edit,Avicii,True,audio_features,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08
4YMqbFcDIFiCBd02PzUBcM,Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Wanz",The Heist,audio_features,0.781,0.526,6,-6.985,0,0.293,0.0619,0,0.0457,0.662,94.992
5YPMEOJ58kfl56VHxTgwx3,Play Hard (feat. Ne-Yo & Akon),David Guetta,Nothing but the Beat (Ultimate Edition),audio_features,0.691,0.921,8,-1.702,0,0.0533,0.173,0,0.331,0.8,130.072
37sINbJZcFdHFAsVNsPq1i,Superheroes,The Script,No Sound Without Silence,audio_features,0.49,0.885,3,-4.121,1,0.0396,0.00218,0,0.0741,0.64,166.996
3zrYNl1aMdFrQkcOjKVr5u,I Cry,Flo Rida,Wild Ones,audio_features,0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035
1QzFhzIOW7CyRJLpmq5CM0,Counting Stars,OneRepublic,Native,audio_features,0.663,0.705,1,-4.972,0,0.0385,0.0654,0,0.117,0.477,122.014
1R2SZUOGJqqBiLuvwKOT2Y,Gangnam Style (강남스타일),PSY,Gangnam Style (강남스타일),audio_features,0.727,0.938,11,-2.872,0,0.288,0.00432,0,0.0911,0.757,132.077
4yOn1TEcfsKHUJCL2h1r8I,Feel This Moment (feat. Christina Aguilera),"Pitbull, Christina Aguilera",Global Warming,audio_features,0.668,0.758,7,-3.589,1,0.158,0.0338,0,0.204,0.531,135.958
3GBlLqIYgB8zWaeWDNJzdh,Capsize,"FRENSHIP, Emily Warren",Capsize,audio_features,0.681,0.708,5,-6.019,0,0.0304,0.042,0.14,0.682,0.356,92.993
43lwHSTEexXRVVeXZtAtfi,Magical,"Tungevaag, Raaban",Magical,audio_features,0.504,0.912,1,-2.867,1,0.259,0.199,0,0.105,0.248,189.983
6LtPIXlIzPOTF8vTecYjRe,Bleeding Love,Leona Lewis,Spirit,audio_features,0.635,0.647,5,-5.864,1,0.0366,0.192,0,0.154,0.201,104.058
48kF7W23OIcVBsNY5UesuQ,Drop That Low (When I Dip),Tujamo,Drop That Low (When I Dip),audio_features,0.579,0.896,5,-4.132,0,0.373,0.00945,0.836,0.121,0.103,125.672
1CUVN2kn7mW5FjkqXTR2W1,Perfect Strangers,"Jonas Blue, JP Cooper",Perfect Strangers,audio_features,0.742,0.819,1,-5.307,1,0.0487,0.372,0,0.277,0.709,117.986
3eBwnjEe60kDJAMlFg1ewf,Thinking About You,Axwell /\ Ingrosso,Thinking About You,audio_features,0.69,0.811,8,-5.475,1,0.058,0.044,0,0.205,0.521,122.001
3cNjgVBKTJ1SvKhunrCdVy,Please Don't Go,Joel Adams,Please Don't Go,audio_features,0.513,0.768,4,-4.868,0,0.0587,0.0118,1.94e-05,0.294,0.235,84.264
6F1kPSgdnlSzZRfskE9vaV,Lions in the Wild,"Martin Garrix, Third Party",Lions in the Wild,audio_features,0.504,0.847,7,-6.81,0,0.0442,0.00434,0,0.816,0.28,127.854
12REd1n8PeiHHWOh066tpr,Never Be Like You,"Flume, kai",Skin,audio_features,0.494,0.559,0,-5.445,1,0.0565,0.436,0,0.164,0.264,119.247
53B2XmmjJ9rriW1qciMBeX,Treat You Better,Shawn Mendes,Treat You Better,audio_features,0.45,0.825,10,-4.066,0,0.372,0.121,0,0.109,0.742,82.823
6i0V12jOa3mr6uu4WYhUBr,Heathens,Twenty One Pilots,Heathens,audio_features,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024
3KZcrZ36LW9RnChK1iIkth,Send My Love (To Your New Lover),Adele,25,audio_features,0.688,0.532,6,-8.361,0,0.0875,0.0356,3.08e-06,0.172,0.565,164.068
0cj2joJcY6b4XSRfj2eZOl,When We Were Young,Adele,25,audio_features,0.377,0.595,3,-5.936,1,0.0489,0.303,0,0.095,0.264,144.464
6QPKYGnAW9QozVz2dSWqRg,Someone Like You,Adele,21,audio_features,0.554,0.321,9,-8.251,1,0.028,0.893,0,0.0996,0.288,135.047
5PKWUDfQFtc5qqo8cs1gQp,Set Fire to the Rain,Adele,21,audio_features,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.66e-06,0.112,0.445,107.995
1NrJYpdAi7uosDRPmSYrsG,Apologize,OneRepublic,Dreaming Out Loud,audio_features,0.593,0.74,8,-6.12,1,0.0339,0.363,2.22e-05,0.102,0.502,118.008
6hvNLxrHBdR1qzdrKasCPE,Onnelliseksi,Juju,Julius Kivi on hullu,audio_features,0.645,0.434,0,-7.791,1,0.0399,0.00187,0.00226,0.124,0.249,100.01
5pY3ovFxbvAg7reGZjJQSp,I See Fire,Ed Sheeran,x (Deluxe Edition),audio_features,0.641,0.176,6,-11.692,1,0.0349,0.638,5.14e-06,0.252,0.297,76.031
11bD1JtSjlIgKgZG2134DZ,Chasing Cars,Snow Patrol,Eyes Open,audio_features,0.563,0.592,9,-4.571,1,0.0276,0.209,5.08e-05,0.132,0.136,104.016
6Vc5wAMmXdKIAM7WUoEb7N,Say Something,"A Great Big World, Christina Aguilera",Is There Anybody Out There?,audio_features,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284
2QJnTfMpNG05KFf2E3gVIJ,Go Hard or Go Home,"Wiz Khalifa, Iggy Azalea",Furious 7: Original Motion Picture Soundtrack,audio_features,0.651,0.741,4,-5.067,0,0.0408,0.00293,1.2e-05,0.217,0.386,168.02
1gou2U6ZcLKXLBC3MYVtEu,Läikkyy,Arttu Lindeman,Läikkyy,audio_features,0.669,0.846,4,-3.976,0,0.156,0.15,0,0.154,0.793,150.014
4htrHrq1AB38vprDEha0hv,1972,Anssi Kela,Klassikot,audio_features,0.542,0.644,3,-6.196,1,0.0961,0.0219,0,0.138,0.545,153.972
26nr9XnFCYWxBTIP7HyWXg,Toxic,Britney Spears,Greatest Hits: My Prerogative,audio_features,0.774,0.839,5,-3.948,0,0.114,0.027,0.0166,0.252,0.923,142.985
02RaNOB5CIiXAhgvLE6Xp0,Älä herätä mua unesta,Mikael Gabriel,Versus,audio_features,0.656,0.675,1,-7.455,1,0.0457,0.119,0,0.0925,0.353,126.889
3PfG2rMOU9HglycfbIC4yM,Spaceman,Aste,2.0,audio_features,0.737,0.95,6,-2.522,0,0.0611,0.017,0,0.233,0.968,127.0
1ttYNQjND5nBtUnpNMlLQQ,Only One,Aste,2.0,audio_features,0.578,0.839,2,-3.806,1,0.0755,0.000649,0,0.0708,0.509,121.995
5U2m76qAMdr3gXI0g6ptlG,Come & Get It,Selena Gomez,Stars Dance,audio_features,0.349,0.795,7,-4.133,0,0.0758,0.0102,0.000138,0.0812,0.542,148.985
7kUtJKGZzLNgIkq1Galkt0,Wherever I Go,OneRepublic,Wherever I Go,audio_features,0.543,0.691,10,-6.403,0,0.0425,0.107,0,0.218,0.335,100.014
2KMJ5CoxY4ECG9TZyNWmpv,Heatwave (feat. Akon),"Robin Schulz, Akon",Sugar,audio_features,0.702,0.82,7,-4.323,0,0.063,0.196,0,0.156,0.52,107.936
2hQVEDz4hG8RGmzSPKTDrT,Hubba Bubba,"Teflon Brothers, Ressu Redford, Heavyweight",Hubba Bubba,audio_features,0.68,0.847,11,-6.439,1,0.0353,0.000755,0,0.159,0.792,136.039
16NOHRm0OEjmg55OZAxVmV,I'm In Control,"AlunaGeorge, Popcaan",I'm In Control,audio_features,0.734,0.847,11,-3.713,0,0.0346,0.355,0.000144,0.154,0.673,104.013
7FKjWBgGgCGYoRRDIhp4bR,Arcade - Radio Edit,"Dimitri Vegas & Like Mike, W&W",Arcade (Radio Edit),audio_features,0.565,0.957,3,-4.167,0,0.0723,0.00923,0.69,0.293,0.175,127.953
4odiyU3myG29Ld0wurMfE8,She Doesn't Mind,Sean Paul,Tomahawk Technique,audio_features,0.718,0.776,7,-5.208,0,0.0693,0.000624,5.3e-06,0.207,0.622,120.015
3peFUAm5l0kWIJXy7Q8GYP,Satellites - Radio Edit,"Bobby Burns, Hannah Robinson",Satellites,audio_features,0.535,0.829,4,-4.371,1,0.0613,0.0713,2.7e-05,0.146,0.573,127.952
34NNeV9jfgNgaALgUr0u9V,Calling (Lose My Mind) - Radio Edit,"Sebastian Ingrosso, Alesso, Ryan Tedder",Calling (Lose My Mind),audio_features,0.416,0.849,1,-4.909,0,0.0455,0.00864,0.000138,0.204,0.147,125.098
1OmxpKVSvn0LGcM3SQS4OV,I Just Had Sex,"The Lonely Island, Akon",I Just Had Sex,audio_features,0.621,0.802,6,-4.735,1,0.118,0.0235,0,0.108,0.819,167.976
3UFoVEy7B2yqUMB21yyJm2,Angels Unite (Radio Edit),Scarlet,Angels Unite,audio_features,0.529,0.876,5,-5.649,1,0.0337,0.00102,1.92e-05,0.353,0.282,144.998
11xsm79HwpWV1C1lMXoVo9,Gypsy Drop - Radio Edit,"Filip Jenven, Jonas Vogel",Gypsy Drop (Radio Edit),audio_features,0.797,0.962,1,-4.239,1,0.0906,0.000359,0.767,0.0454,0.422,128.047
1Xcww2gldd5hN6WvGBsbFT,Bigroom Blitz - Radio Mix,"Scooter, Wiz Khalifa",Bigroom Blitz,audio_features,0.713,0.909,3,-4.274,1,0.0306,0.00303,0.000706,0.699,0.438,132.022
6LU68pNqUguPOsjPIaJwo6,Satisfied (feat. VASSY) - Original Mix,"Showtek, VASSY",Satisfied,audio_features,0.611,0.941,0,-1.958,1,0.0491,0.00326,0.0205,0.345,0.589,128.002
4zXQSm5XIkcn5qtmtbwO9O,Gold Skies - Original Mix,"Sander van Doorn, Martin Garrix, DVBBS, Aleesia",Gold Skies (Remixes),audio_features,0.564,0.823,9,-6.316,0,0.046,0.00406,0.0716,0.684,0.221,128.018
2WEiz65hkQPlThgncVH34T,Love Louder - Style Of Eye Remix,"John Martin, Style of Eye",Love Louder (Style Of Eye Remix),audio_features,0.56,0.854,1,-4.878,1,0.0669,0.00901,1.07e-06,0.506,0.274,126.001
2BF1X5nkYYSb0AUTRaGkDm,Forbidden Voices,Martin Garrix,Forbidden Voices,audio_features,0.534,0.711,10,-5.927,0,0.0368,0.05,0.0031,0.135,0.3,128.102
4WRjqQ6sx5qIcddaIxNTfF,Salsa Tequila,Anders Nilsen,Salsa Tequila,audio_features,0.661,0.906,6,-3.352,1,0.125,0.131,4.1e-05,0.0743,0.638,127.966
3uoqlATyV5IWOhy0LBF7k1,All I Ever Wanted - Radio Edit,Basshunter,All I Ever Wanted (German Maxi),audio_features,0.645,0.984,4,-7.051,1,0.0508,0.164,0.00701,0.164,0.553,144.954
4iMu9le3ytNO3tvgVpQANx,Memories (feat. Kid Cudi),"David Guetta, Kid Cudi",Memories,audio_features,0.561,0.87,8,-6.103,1,0.343,0.0015,2.82e-06,0.246,0.498,129.98
3YcXXjmC9cM5Y2x3jUps0p,Trumpsta (Djuro Remix) [feat. Treyy G],"Contiez, Treyy G, Djuro",Melbourne Bounce,audio_features,0.973,0.587,1,-7.014,1,0.242,0.00207,0.38,0.257,0.195,128.0
6T9vhWadqtG3J3jfYf8kcI,Moonlight Shadow,ItaloBrothers,Stamp!,audio_features,0.577,0.952,0,-5.172,1,0.0404,0.0529,0.00603,0.31,0.808,150.02
4fWcyB6ik13xv6QFmORi0H,Colours Of The Rainbow,"ItaloBrothers, Tune Up!",Stamp!,audio_features,0.616,0.946,0,-6.392,0,0.059,0.00341,0.000188,0.168,0.744,140.045
6d0eTPJ3JZTwOAwLdl0hOJ,Honey,"Evelina, Mikael Gabriel",Honey,audio_features,0.68,0.633,3,-5.236,0,0.0344,0.0773,1.57e-06,0.183,0.501,149.922
6xQjgKUjjKgLDfOibSRyRM,Pämppää,"Teflon Brothers, Sahamies",Pämppää,audio_features,0.8,0.887,9,-5.038,1,0.0632,0.113,0,0.154,0.526,109.988
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,audio_features,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015
0ett0qCHbl0vdSRFhRSkMc,If I Lose Myself,OneRepublic,Native,audio_features,0.485,0.699,2,-6.017,1,0.0479,0.096,0,0.109,0.242,140.096
3WEmAizxrtQwXEJQRwCrK1,In2,WSTRN,In2,audio_features,0.553,0.662,8,-6.454,0,0.129,0.342,0,0.141,0.561,98.368
0GDz2tPdh6FbxJxM75SQB4,Somebody to Die For,Hurts,Exile (Deluxe),audio_features,0.426,0.599,11,-7.737,1,0.0282,0.0198,0.00142,0.366,0.102,91.995
1domCrjxwdTsPWqVn2Ivc0,Jai Ho! (You Are My Destiny),"A.R. Rahman, The Pussycat Dolls, Nicole Scherzinger",Doll Domination - The Mini Collection,audio_features,0.66,0.936,11,-3.931,1,0.0624,0.0531,2.46e-06,0.082,0.908,136.19
7pAq1IXYZpL42HchCminu6,Don't Hold Your Breath,Nicole Scherzinger,Killer Love,audio_features,0.66,0.797,5,-6.096,0,0.0262,0.00646,0.000108,0.187,0.674,110.955
7hFXQCDPgHhZQrC3vSM1o4,When I Grow Up,The Pussycat Dolls,Doll Domination - The Mini Collection,audio_features,0.686,0.681,11,-5.761,0,0.0471,0.00185,0,0.395,0.366,118.472
4vp2J1l5RD4gMZwGFLfRAu,I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),audio_features,0.743,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.96
4JehYebiI9JE8sR8MisGVb,Halo,Beyoncé,I AM...SASHA FIERCE,audio_features,0.508,0.72,11,-5.908,0,0.0628,0.272,0,0.0563,0.472,79.983
7Lf7oSEVdzZqTA0kEDSlS5,Cry Me a River,Justin Timberlake,Justified,audio_features,0.624,0.654,8,-6.582,0,0.183,0.577,0,0.104,0.564,73.898
1FMm3wG5WOhi7js35KR7Ea,"You're Gonna Go Far, Kid",The Offspring,"Rise And Fall, Rage And Grace",audio_features,0.55,0.918,9,-3.159,0,0.0682,0.00466,0,0.206,0.563,126.083
6qYGUxPjQt5PJtWdiNppZx,So What,P!nk,Funhouse,audio_features,0.535,0.887,11,-3.106,1,0.0449,0.000304,2.23e-06,0.257,0.445,126.01
0RJWhctsc1G1Hg3Ov2th7x,"Whenever, Wherever",Shakira,Servicio De Lavandería,audio_features,0.793,0.831,1,-4.861,0,0.0405,0.264,7.03e-06,0.207,0.865,107.645
7wZUrN8oemZfsEd1CGkbXE,Bleeding Love,Leona Lewis,Spirit,audio_features,0.638,0.656,5,-5.886,1,0.0357,0.188,0,0.146,0.225,104.036
2cMTIlktg3M9mXYqCPqw1J,Milkshake,Kelis,Tasty,audio_features,0.881,0.774,1,-6.068,1,0.0439,0.00986,0.0346,0.206,0.759,112.968
35a4Kzyo9XY4FI9FaSIzzF,Stronger (What Doesn't Kill You),Kelly Clarkson,Greatest Hits - Chapter One,audio_features,0.555,0.923,0,-5.908,1,0.0482,0.0411,0,0.112,0.682,116.012
5cfPxiul0cdhPYD2uzuQSg,Say OK,Vanessa Hudgens,V,audio_features,0.471,0.696,7,-7.176,1,0.0468,0.00673,0.000955,0.0884,0.543,125.026
2w55BLEMG97Smym2V6itnx,Lovesick,Emily Osment,Fight Or Flight,audio_features,0.611,0.715,0,-5.621,0,0.0604,0.00414,0,0.353,0.784,129.88
3lWEKwBNo9IbE9pdKC5NU6,Wherever I Go,Hannah Montana,Best Of Hannah Montana,audio_features,0.538,0.621,5,-3.358,1,0.027,0.0383,0,0.0976,0.372,79.024
0tldYKX9sQsDs41lJxdcp8,I'll Always Remember You,Hannah Montana,Hannah Montana Forever,audio_features,0.418,0.721,8,-2.736,1,0.0385,0.0485,0,0.0986,0.234,144.06
0lYS1tJg3r6ATe9bRPB0Hu,A Year Without Rain,Selena Gomez & The Scene,A Year Without Rain (International Standard Version),audio_features,0.627,0.81,2,-5.296,0,0.0431,0.0125,3.09e-05,0.111,0.409,119.98
0KTsmr6JOuhxZuiXUha1xC,Beauty And A Beat,"Justin Bieber, Nicki Minaj",Believe (Deluxe Edition),audio_features,0.601,0.845,0,-4.711,1,0.0653,0.00116,0.0001,0.0653,0.662,127.97
62zFEHfAYl5kdHYOivj4BC,International Love (feat. Chris Brown),"Pitbull, Chris Brown",Planet Pit (Deluxe Version),audio_features,0.67,0.855,0,-3.035,0,0.0499,0.0124,0,0.335,0.648,120.05
1RK5DiXAYnRZk1fEjnytdp,Clouds (feat. A.J. McLean),"Redrama, AJ McLean",Reflection,audio_features,0.772,0.851,7,-4.343,1,0.09,0.0149,0,0.136,0.27,91.034
6T27IN7Ai94BeDv6PPCmoC,Turn Me On (feat. Nicki Minaj),"David Guetta, Nicki Minaj",Nothing but the Beat (Ultimate Edition),audio_features,0.704,0.793,8,-2.266,1,0.0591,0.0488,0,0.575,0.412,127.96
7LpT54RUvN0IvDGIxiwHwS,Sweat (Snoop Dogg vs. David Guetta) - David Guetta Remix,"Snoop Dogg, David Guetta",Nothing but the Beat (Ultimate Edition),audio_features,0.822,0.749,7,-5.563,1,0.0285,0.0697,0.000273,0.0732,0.707,130.005
6wPsHct4yJfplE3nA9qvac,Märkää,Petri Nygård,Mun Mielestä,audio_features,0.903,0.864,1,-3.763,1,0.0358,0.0212,0,0.511,0.961,120.06
107ct6t9kseeQWTyeRgcdO,Selvä päivä - feat. Lord Est,Petri Nygård,Selvä päivä (feat. Lord Est),audio_features,0.801,0.726,6,-5.567,0,0.0443,0.0412,0,0.317,0.489,113.98
629MXzH7txguTIePdNXOWY,Good Ol' Days,The Script,#3 Deluxe Version,audio_features,0.549,0.945,7,-4.351,1,0.0329,0.031,0,0.114,0.565,93.998
12HmJ4Q5ksOGgaqKgZLvdE,Home,"Dzeko & Torres, Alex Joseph",Home,audio_features,0.577,0.886,2,-3.033,1,0.0666,0.00562,0,0.111,0.616,127.957
3yXMgnyHN4o5bL68RfWRpC,Supersankari,Laura Närhi,Supersankari,audio_features,0.428,0.59,1,-6.187,1,0.0404,0.102,3.39e-06,0.108,0.305,120.38
5M9jOReAKGZ2AttVefFjTY,Don't Look Down (feat. Usher),"Martin Garrix, Usher",Don't Look Down (feat. Usher),audio_features,0.575,0.831,0,-5.972,1,0.0356,0.00406,0.000449,0.111,0.377,127.991
4qwucEZidHAAkcN0BemkoU,Overtime - Vicetone Remix,"Cash Cash, Vicetone",Overtime (Vicetone Remix),audio_features,0.721,0.887,11,-3.095,0,0.166,0.00973,0.00054,0.61,0.678,125.987
5dajiBFiQxyOkmFglyTkvg,Unbreakable,Benjamin,Unbreakable,audio_features,0.498,0.566,1,-7.381,1,0.0304,0.00587,0,0.156,0.267,141.872
1MkiqU0AvKhjOZdL6I7NQS,Moon Boots,The Script,#3 Deluxe Version,audio_features,0.482,0.872,2,-4.813,1,0.0469,0.000518,0,0.0935,0.532,152.888
6EzSy7WxNCazx3csu7lxdV,If You Could See Me Now,The Script,#3 Deluxe Version,audio_features,0.602,0.758,0,-6.864,1,0.0399,0.00569,0,0.145,0.368,100.017
4b8ssS2AaEUIzOCDlH0aOT,Everytime - Hi-Bias Radio Remix,"Britney Spears, Nick ""Fierce"" Fiorucci, Taras",Everytime,audio_features,0.524,0.902,0,-4.655,0,0.0315,0.00994,0.0018,0.094,0.657,128.009
6ic8OlLUNEATToEFU3xmaH,Gimme More,Britney Spears,Blackout,audio_features,0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324
36ux3YuUsGTWPT8fXclS45,E.T.,"Katy Perry, Kanye West",Teenage Dream: The Complete Confection,audio_features,0.62,0.869,1,-5.252,1,0.175,0.0181,0,0.369,0.76,151.684
5jaz6aiRknA63NIYWdbr2O,We R Who We R,Kesha,We R Who We R,audio_features,0.739,0.818,8,-5.062,1,0.0418,0.008,0.00504,0.164,0.713,119.982
6tWkTeLF2WmjTA1cyS2QEp,The Man Who Never Lied,Maroon 5,Overexposed (Deluxe),audio_features,0.63,0.842,2,-5.946,1,0.0355,0.000342,0,0.0711,0.826,139.943
5gsQegOEB7admETkL6ckUL,Che Guevara,Happoradio,Kaunis Minä,audio_features,0.583,0.879,10,-4.171,0,0.0367,0.0745,0,0.187,0.46,139.943
7xEMGs0GbdfLwVw0Bn5D9H,Maps,Maroon 5,Singles,audio_features,0.736,0.725,1,-5.498,0,0.029,0.0194,0,0.081,0.883,119.992
4jOtC832PyIXlCVPRElfQu,Troublemaker (feat. Flo Rida),"Olly Murs, Flo Rida",Right Place Right Time,audio_features,0.762,0.863,0,-3.689,0,0.0565,0.015,0,0.125,0.965,106.008
5m5TRf7ggoguXtcXQGprN4,Written in the Stars (feat. Eric Turner),"Tinie Tempah, Eric Turner",Written in the Stars (feat. Eric Turner),audio_features,0.656,0.931,7,-4.188,1,0.0981,0.0613,0,0.219,0.534,91.881
646J2jOtUe4Jflrmh6JFjN,Bring Me To Life,Evanescence,Fallen,audio_features,0.312,0.946,4,-3.209,0,0.107,0.00749,2.93e-06,0.288,0.297,189.892
70VjMtwhm3Q2HBQeJnPfmh,Hung Up,Madonna,Celebration (double disc version),audio_features,0.64,0.646,9,-7.572,0,0.0497,0.00364,0.165,0.0912,0.415,124.992
4TmGtGkkmaoXRCvpOwDJoO,It's My Life,Bon Jovi,Bon Jovi Greatest Hits - The Ultimate Collection (Int'l Deluxe Package),audio_features,0.546,0.931,0,-3.025,0,0.0507,0.0295,1.67e-05,0.366,0.527,120.01
14iN3o8ptQ8cFVZTEmyQRV,I Kissed A Girl,Katy Perry,One Of The Boys,audio_features,0.699,0.76,5,-3.173,1,0.0677,0.00223,0,0.132,0.696,129.996
1ctdfJSzp6qF2iDAVdDrfl,About You Now,Sugababes,Change,audio_features,0.584,0.699,1,-6.065,0,0.0378,6.52e-05,6.05e-05,0.486,0.585,82.499
